time_step,dimension,predicted_value
0,0,1.0785592435667766
0,1,-0.03831945159950406
0,2,0.8946123852773205
0,3,1.8541572902047514
0,4,-0.24230604090388008
0,5,0.20735224955853324
0,6,1.4891376741423468
0,7,1.2274086477382933
0,8,-0.21581729801260724
0,9,0.44120083514896413
0,10,-0.17323979722535515
0,11,-0.2989030355553148
0,12,0.4709928778902169
0,13,-1.2068800361324779
0,14,-1.0672987404770136
0,15,-0.026166656319853876
0,16,-0.7440472348182886
0,17,0.718206542842965
0,18,-0.6033313648718961
0,19,-0.9025577591447574
0,20,1.7880867589001825
0,21,0.48317000318654063
0,22,0.06824072108697676
0,23,-1.5110343086207325
0,24,-0.12349555904292836
0,25,0.7693417430332371
0,26,-0.5557253516547053
0,27,0.8799070158493508
0,28,-0.14791652018482682
0,29,-0.020437621983248555
0,30,-0.18190007895973118
0,31,2.516370634690471
0,32,0.030924658043302078
0,33,-0.24128524114358618
0,34,0.3088713028548383
0,35,-0.12308247671864142
0,36,0.7038932778477439
0,37,-1.6837000821237156
0,38,-0.6435949597460517
0,39,-0.14464188696613078
2,0,1.7490234499112196
2,1,0.8671535755864048
2,2,1.5988766771704055
2,3,2.398408885579097
2,4,0.4072800486238466
2,5,0.9470035681821425
2,6,2.1883911682212998
2,7,1.7880378263319996
2,8,0.4170010113868328
2,9,1.1473324807387912
2,10,0.6049128530190864
2,11,0.49149278382722755
2,12,1.1772569805793638
2,13,-0.3869063318781874
2,14,-0.1677677518593318
2,15,0.7104974533074021
2,16,0.14332845511535036
2,17,1.4267769681826945
2,18,0.19580806706173198
2,19,-0.073883655419549
2,20,2.328167703087596
2,21,1.3571838191388221
2,22,0.5479059477585275
2,23,-0.629188472323482
2,24,0.571661341486434
2,25,1.4789951701988464
2,26,0.36691128926427463
2,27,1.5652155022476641
2,28,0.6798400240287072
2,29,0.7176924800429574
2,30,0.6825555133505694
2,31,3.039180333189546
2,32,0.7578304896948884
2,33,0.4621090782890974
2,34,1.0399665486389815
2,35,0.7092957106369456
2,36,1.3441265523660693
2,37,-0.8078481320232558
2,38,0.2772102997184635
2,39,0.5883419456277392
4,0,2.4063149458747697
4,1,1.7285896279729238
4,2,2.2736913860646357
4,3,2.8165017647788395
4,4,0.9661491202720353
4,5,1.614782042821507
4,6,2.903648031289205
4,7,2.231578921943662
4,8,0.9263778818553023
4,9,1.7322656398503442
4,10,1.333836578739291
4,11,1.208176597057862
4,12,1.7447662083805555
4,13,0.32369804388928375
4,14,0.6109663006160595
4,15,1.419306541158353
4,16,1.0432099413071607
4,17,2.022917714156272
4,18,0.8952451987015284
4,19,0.7412301904944358
4,20,2.906377644257479
4,21,2.0722988656358456
4,22,0.7869347108219269
4,23,0.1384865661119145
4,24,1.2560874483923818
4,25,2.1923640363144017
4,26,1.256674769435481
4,27,2.1167380672269682
4,28,1.4137371336972855
4,29,1.3410797843614186
4,30,1.5977418898259867
4,31,3.512916798364061
4,32,1.319017774679372
4,33,0.9884958636484233
4,34,1.7076147804701134
4,35,1.51359020996549
4,36,1.7871480944649556
4,37,-0.03714376750170928
4,38,1.0365841066248032
4,39,1.4528492626586464
6,0,3.0769027377245872
6,1,2.495003939549013
6,2,2.860801648427176
6,3,3.084718499160163
6,4,1.4547383445777817
6,5,2.258587952204124
6,6,3.6052660797686666
6,7,2.5275998344947066
6,8,1.311200176190187
6,9,2.2545876752029343
6,10,2.047224061217638
6,11,1.8506366244861723
6,12,2.1856082016094414
6,13,0.9463833750025803
6,14,1.3029757876144519
6,15,2.1250860016716877
6,16,1.9259635027789759
6,17,2.5101293666772335
6,18,1.4958150002902928
6,19,1.5399323803867504
6,20,3.5131876877045967
6,21,2.5383427212903618
6,22,0.8696929216677554
6,23,0.8297023521750255
6,24,1.982586616315133
6,25,2.9285435237595228
6,26,2.073719957544629
6,27,2.54359376446161
6,28,2.0306773442930113
6,29,1.9310210115372461
6,30,2.516221766135588
6,31,3.912087879625547
6,32,1.6499712276095242
6,33,1.413942732792747
6,34,2.3534161031459964
6,35,2.271877398382824
6,36,2.06596802809931
6,37,0.6304676815193556
6,38,1.7022934089450836
6,39,2.3953959411284793
8,0,3.7583482870800764
8,1,3.075773128395733
8,2,3.2773788462800186
8,3,3.2235158301814275
8,4,1.9292621025389651
8,5,2.9318295874717437
8,6,4.244087749755033
8,7,2.621416093248791
8,8,1.5967662179995519
8,9,2.777834950630278
8,10,2.7767339891458294
8,11,2.3973011192223157
8,12,2.497806589872911
8,13,1.5054510809451775
8,14,1.9585558504309075
8,15,2.859991588852342
8,16,2.755662213364046
8,17,2.8671476331389747
8,18,2.009709183399333
8,19,2.3422730586655303
8,20,4.099161436512537
8,21,2.6665181659101274
8,22,0.8839745627143843
8,23,1.4924632063440333
8,24,2.8300848305411996
8,25,3.69865628150474
8,26,2.7292369539088392
8,27,2.8269101404804715
8,28,2.553129253431159
8,29,2.5710931486756
8,30,3.4108734656963415
8,31,4.144837456858444
8,32,1.730631415081177
8,33,1.8200943300480206
8,34,3.033554850936054
8,35,2.9497209689716586
8,36,2.1899292306996823
8,37,1.2120828874076752
8,38,2.3733903178025653
8,39,3.412856346341725
10,0,4.50745510929675
10,1,3.37499710011691
10,2,3.310631962903633
10,3,3.743469780400013
10,4,2.5349744108944376
10,5,3.7288723293094055
10,6,4.882565014888082
10,7,2.513538081155618
10,8,2.142995671524959
10,9,3.775211644241732
10,10,3.476094056691922
10,11,2.9574477025152373
10,12,2.277584886321498
10,13,2.104396817254119
10,14,2.7041750024696123
10,15,3.702904396078356
10,16,3.4037380323080395
10,17,3.225343888435419
10,18,2.4187139853457005
10,19,3.00294440680216
10,20,4.377605745969564
10,21,2.6896693824872164
10,22,0.7766164382880141
10,23,2.579646996770036
10,24,3.482217334980452
10,25,4.053272414968157
10,26,2.99744232535126
10,27,3.133988764785122
10,28,3.476474105780864
10,29,3.166987962957458
10,30,4.384796961668009
10,31,3.8750271516296233
10,32,2.0275498787606687
10,33,2.2359312966322156
10,34,4.21016449904451
10,35,3.2985410969341924
10,36,2.206017947443958
10,37,1.8171697640124866
10,38,3.2245122985758936
10,39,4.470507802143105
12,0,4.595852089322129
12,1,3.076671830029994
12,2,3.5233985283175877
12,3,4.038219665852558
12,4,3.3064672534482797
12,5,4.438241155240591
12,6,4.958659979919943
12,7,2.1969230276485847
12,8,2.5108777709500227
12,9,4.503126728710127
12,10,4.131290094295276
12,11,2.788037823883808
12,12,2.428666563692509
12,13,2.7234109118575387
12,14,3.6114978960206727
12,15,4.491057102776159
12,16,3.8586127536543384
12,17,3.167439323244023
12,18,2.869887497679845
12,19,3.8150739029824283
12,20,4.643038898231779
12,21,2.1168513902651376
12,22,1.0853801588996066
12,23,3.253267682695407
12,24,4.8483154993395114
12,25,4.497688860202138
12,26,3.110562651763883
12,27,3.4389198542696486
12,28,4.077827871040632
12,29,4.091012358319058
12,30,4.713106801040915
12,31,3.522454245572965
12,32,1.8825418632118873
12,33,2.9370400769292138
12,34,4.9460249434086805
12,35,3.523838455508665
12,36,1.9556777455327974
12,37,2.459868526740685
12,38,4.297777544311401
12,39,5.683962895893204
14,0,3.5933157306664856
14,1,2.5662137110297047
14,2,3.9853788487805835
14,3,4.752411016601932
14,4,4.165846397631716
14,5,4.910800217868503
14,6,4.468055559630967
14,7,1.8694430912078939
14,8,3.069076320242689
14,9,5.444342907179545
14,10,4.389184554710956
14,11,2.2864932574742416
14,12,2.672804003361968
14,13,3.6144485516995473
14,14,4.719291633957958
14,15,5.098831446652005
14,16,3.753697293064382
14,17,3.011038758498983
14,18,3.4698965332832254
14,19,4.657960491006607
14,20,4.38848069214415
